server name,server id,idle latency,idle jitter,packet loss,download,upload,download bytes,upload bytes,share url,download server count,download latency,download latency jitter,download latency low,download latency high,upload latency,upload latency jitter,upload latency low,upload latency high,idle latency low,idle latency high,date
"Lumen Technologies - 2 - Denver, CO",48907,20.7146,5.87275,,10133724,1607306,147011532,3354448,https://www.speedtest.net/result/c/df76da66-a291-4320-8b5e-85ed0eb30902,1,160.151,51.1094,22.574,402.816,325.117,83.77,28.208,576.586,17.365,36.268,2022-12-14 14:37:57.942271
"Nitel - Denver, CO",16797,18.6295,3.62575,0.0,11065052,4051172,98852884,51821324,https://www.speedtest.net/result/c/b48831a8-614a-4dcd-9b7e-b0ddb23ffa2a,1,144.423,45.539,23.491,529.628,109.472,34.0485,19.754,763.072,15.646,27.752,2022-12-14 14:38:54.485852
"NextLight - Denver, CO",47683,23.9247,3.221,0.0,11050975,2683748,127712216,34672044,https://www.speedtest.net/result/c/7391019b-505c-4ad9-8d6b-9cc29d331d49,1,154.455,48.0872,30.6,326.495,96.1317,38.4552,16.061,726.774,22.838,33.068,2022-12-14 14:39:53.293311
"NextLight - Denver, CO",47683,17.589,6.246,0.0,10182880,4460218,87990700,61595136,https://www.speedtest.net/result/c/678b58eb-25a0-4ef4-bd31-6735f80542f1,1,113.455,33.4605,26.343,415.595,103.55,32.6534,18.713,862.721,16.003,27.407,2022-12-14 14:40:49.722342
"Nitel - Denver, CO",16797,21.247,4.4045,0.0,10801960,3681375,100772436,45522541,https://www.speedtest.net/result/c/d5cac7d7-407f-4430-82fb-fc3b5d58a0b6,1,122.006,37.4013,23.283,434.671,111.372,41.5352,20.139,1300.51,17.784,25.967,2022-12-14 14:41:48.841883
"Xiber LLC - Denver, CO",18847,23.0886,6.41925,1.05634,9089093,1728353,124021120,4146320,https://www.speedtest.net/result/c/481158f5-4d5a-447b-8d53-619022ff6139,1,86.2042,20.5171,23.254,438.112,238.611,70.188,24.229,751.116,19.731,29.972,2022-12-14 14:42:50.171980
"Verso Networks - Denver, CO",20818,20.7303,6.41675,0.0,9843379,4387056,89935864,56595088,https://www.speedtest.net/result/c/40d8a6a2-7ac7-45dd-a2be-a69eb4ec18c6,1,131.573,41.2064,22.592,352.888,90.2981,29.6741,19.122,873.477,18.627,26.332,2022-12-14 14:43:48.883573
"CenturyLink, Inc. - Denver, CO",52079,22.6404,5.4025,,11416907,1099531,89873856,13465477,https://www.speedtest.net/result/c/7eae5f42-0afa-4afc-bf16-fad1e938b8e1,1,149.309,49.9204,25.191,429.138,239.089,65.3903,32.391,572.994,16.957,30.208,2022-12-14 14:44:43.582977
"Comcast - Denver, CO",10051,23.7573,7.44075,0.0,9391082,1258169,105003808,2955440,https://www.speedtest.net/result/c/fc433298-2781-4ed1-9e68-9cf3bc2c99f2,1,110.049,30.553,23.762,236.477,202.736,57.4566,22.567,577.904,18.321,34.078,2022-12-14 14:46:31.658172
"Nitel - Denver, CO",16797,27.5855,6.2375,0.0,8884026,3511579,98298856,48125705,https://www.speedtest.net/result/c/59e7bc9a-1f88-453c-bb1d-d97575dd0f4d,1,91.1123,21.1131,25.455,355.34,122.339,39.2863,22.819,537.27,18.16,30.921,2022-12-14 14:48:22.260758
